releaseDate,FIPS,county,state,NONE,D0,D1,D2,D3,D4,validStart,validEnd,domStatisticFormatID
3/22/16,6017,El Dorado County,CA,0,100,100,100,74.84,22.48,3/22/16,3/28/16,1
3/22/16,6019,Fresno County,CA,0,100,100,100,100,100,3/22/16,3/28/16,1
3/22/16,6021,Glenn County,CA,0,100,100,100,71.6,12.27,3/22/16,3/28/16,1
3/22/16,6023,Humboldt County,CA,17.65,82.35,0,0,0,0,3/22/16,3/28/16,1
3/22/16,6025,Imperial County,CA,0,100,100,90.37,0,0,3/22/16,3/28/16,1
3/22/16,6027,Inyo County,CA,0,100,100,95.02,46.94,21.08,3/22/16,3/28/16,1
3/22/16,6029,Kern County,CA,0,100,100,100,100,73.56,3/22/16,3/28/16,1
3/22/16,6031,Kings County,CA,0,100,100,100,100,100,3/22/16,3/28/16,1
3/22/16,6033,Lake County,CA,0,100,95.46,33.92,0.02,0,3/22/16,3/28/16,1
3/22/16,6035,Lassen County,CA,0,100,100,88.54,57.31,0,3/22/16,3/28/16,1
3/22/16,6037,Los Angeles County,CA,0,100,100,100,100,86.33,3/22/16,3/28/16,1
3/22/16,6039,Madera County,CA,0,100,100,100,100,100,3/22/16,3/28/16,1
3/22/16,6041,Marin County,CA,0,100,1,0,0,0,3/22/16,3/28/16,1
3/22/16,6043,Mariposa County,CA,0,100,100,100,100,100,3/22/16,3/28/16,1
3/22/16,6045,Mendocino County,CA,0,100,39.35,1.65,0,0,3/22/16,3/28/16,1
3/22/16,6047,Merced County,CA,0,100,100,100,100,100,3/22/16,3/28/16,1
3/22/16,6049,Modoc County,CA,0,100,100,10.92,0,0,3/22/16,3/28/16,1
3/22/16,6051,Mono County,CA,0,100,100,100,100,64.99,3/22/16,3/28/16,1
3/22/16,6053,Monterey County,CA,0,100,99.83,81.3,72.2,56.57,3/22/16,3/28/16,1
3/22/16,6055,Napa County,CA,0,100,40.21,19.43,0,0,3/22/16,3/28/16,1
3/22/16,6057,Nevada County,CA,0,100,100,100,49.54,13.63,3/22/16,3/28/16,1
3/22/16,6059,Orange County,CA,0,100,100,100,100,75.2,3/22/16,3/28/16,1
3/22/16,6061,Placer County,CA,0,100,100,100,50.98,29.23,3/22/16,3/28/16,1
3/22/16,6063,Plumas County,CA,0,100,100,100,55.76,0,3/22/16,3/28/16,1
3/22/16,6065,Riverside County,CA,0,100,100,61.31,21.92,0.41,3/22/16,3/28/16,1
3/22/16,6067,Sacramento County,CA,0,100,100,100,100,96.68,3/22/16,3/28/16,1
3/22/16,6069,San Benito County,CA,0,100,100,100,96.95,86.71,3/22/16,3/28/16,1
3/22/16,6071,San Bernardino County,CA,0,100,100,60.58,42.3,0.7,3/22/16,3/28/16,1
3/22/16,6073,San Diego County,CA,0,100,100,100,66.61,0,3/22/16,3/28/16,1
3/22/16,6075,San Francisco County,CA,0,100,14.34,0,0,0,3/22/16,3/28/16,1
3/22/16,6077,San Joaquin County,CA,0,100,100,100,100,100,3/22/16,3/28/16,1
3/22/16,6079,San Luis Obispo County,CA,0,100,100,100,100,86.52,3/22/16,3/28/16,1
3/22/16,6081,San Mateo County,CA,0,100,0.03,0,0,0,3/22/16,3/28/16,1
3/22/16,6083,Santa Barbara County,CA,0,100,100,100,100,100,3/22/16,3/28/16,1
3/22/16,6085,Santa Clara County,CA,0,100,82.31,70.93,41.7,25.27,3/22/16,3/28/16,1
3/22/16,6087,Santa Cruz County,CA,0,100,10.92,3.35,0,0,3/22/16,3/28/16,1
3/22/16,6089,Shasta County,CA,0,100,100,14.27,0,0,3/22/16,3/28/16,1
3/22/16,6091,Sierra County,CA,0,100,100,100,51.76,0,3/22/16,3/28/16,1
3/22/16,6093,Siskiyou County,CA,4.04,95.96,67.57,0,0,0,3/22/16,3/28/16,1
3/22/16,6095,Solano County,CA,0,100,95.38,82.38,62.68,8.91,3/22/16,3/28/16,1
3/22/16,6097,Sonoma County,CA,0,100,3.45,0,0,0,3/22/16,3/28/16,1
3/22/16,6099,Stanislaus County,CA,0,100,100,100,100,100,3/22/16,3/28/16,1
3/22/16,6101,Sutter County,CA,0,100,100,100,100,100,3/22/16,3/28/16,1
3/22/16,6103,Tehama County,CA,0,100,100,97.96,37.69,0,3/22/16,3/28/16,1
3/22/16,6105,Trinity County,CA,0,100,75.64,0.62,0,0,3/22/16,3/28/16,1
3/22/16,6107,Tulare County,CA,0,100,100,100,100,100,3/22/16,3/28/16,1
3/22/16,6109,Tuolumne County,CA,0,100,100,100,100,99.85,3/22/16,3/28/16,1
3/22/16,6111,Ventura County,CA,0,100,100,100,100,100,3/22/16,3/28/16,1
3/22/16,6113,Yolo County,CA,0,100,100,100,90.07,66.07,3/22/16,3/28/16,1
3/22/16,6115,Yuba County,CA,0,100,100,100,85.3,65.08,3/22/16,3/28/16,1
3/15/16,6001,Alameda County,CA,0,100,100,82.42,44.83,20.82,3/15/16,3/21/16,1
3/15/16,6003,Alpine County,CA,0,100,100,100,100,6.21,3/15/16,3/21/16,1
3/15/16,6005,Amador County,CA,0,100,100,100,100,71.34,3/15/16,3/21/16,1
3/15/16,6007,Butte County,CA,0,100,100,100,81.18,39.78,3/15/16,3/21/16,1
